,PATTERN_ABS,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
0,1a2a3,|3,>.w.3,>.w.\1,BACKOFF,[STEM-CV],>u3,lex:|3,lex:|\1,>u3,>u\1,>u3/CV,>u\1/CV,na,pos:verb asp:c vox:a gen:_ num:_,c-suff,,,^A([^wy])$,5,
1,1a2a3,|3,>.w.3,>.w.\1,BACKOFF,[STEM-CV],>uw3,lex:|3,lex:|\1,>uw3,>uw\1,>uw3/CV,>uw\1/CV,na,pos:verb asp:c vox:a gen:_ num:_,v-suff,,,^Aw([^wy])$,5,
2,1A2a3,|2a3,>.2.n,>.\1.n,BACKOFF,[STEM-CV],|2i3,lex:|2an,lex:|\1an,|2in,|\1in,|2in/CV,|\1in/CV,na,pos:verb asp:c vox:a gen:_ num:_,,,,^A([^wy])n$,2,
3,1a2a3,|3,>.y.3,>.y.\1,BACKOFF,[STEM-CV],<i3,lex:|3,lex:|\1,<i3,<i\1,<i3/CV,<i\1/CV,na,pos:verb asp:c vox:a gen:_ num:_,c-suff,,,^A([^wy])$,2,
4,1a2a3,|3,>.y.3,>.y.\1,BACKOFF,[STEM-CV],<iy3,lex:|3,lex:|\1,<iy3,<iy\1,<iy3/CV,<iy\1/CV,na,pos:verb asp:c vox:a gen:_ num:_,v-suff,,,^Ay([^wy])$,2,
5,1a2a3,|3,>.y.n,>.y.n,BACKOFF,[STEM-CV],>u3,lex:|n,lex:|n,>un,>un,>un/CV,>un/CV,na,pos:verb asp:c vox:a gen:_ num:_,c-suff,,#n,^An$,1,
6,1a2a3,|3,>.y.n,>.y.n,BACKOFF,[STEM-CV],>uw3,lex:|n,lex:|n,>uwn,>uwn,>uwn/CV,>uwn/CV,na,pos:verb asp:c vox:a gen:_ num:_,v-suff,,#n,^Awn$,1,
7,1a2a3,|3,>.y.n,>.y.n,BACKOFF,[STEM-CV],<i3,lex:|n,lex:|n,<in,<in,<in/CV,<in/CV,na,pos:verb asp:c vox:a gen:_ num:_,c-suff,,#n,^An$,1,
8,1a2a3,|3,>.y.n,>.y.n,BACKOFF,[STEM-CV],<iy3,lex:|n,lex:|n,<iyn,<iyn,<iyn/CV,<iyn/CV,na,pos:verb asp:c vox:a gen:_ num:_,v-suff,,#n,^Ayn$,1,
9,1a2a3,>a2~,>.2.3,>.\1.\1,BACKOFF,[STEM-CV],>u2~,lex:>a2~,lex:>a\1~,>u2~,>u\1~,>u2~/CV,>u\1~/CV,na,pos:verb asp:c vox:a gen:_ num:_,v-suff,,gem,^A([^wy])$,7,
10,1a2a3,>a2~,>.2.3,>.\1.\1,BACKOFF,[STEM-CV],{u>o2u3,lex:>a2~,lex:>a\1~,{u>o2u3,{u>o\1u\2,{u>o2u3/CV,{u>o\1u\2/CV,na,pos:verb asp:c vox:a gen:_ num:_,c-suff,,gem,^AA([^wy])([^wy])$,6,
11,1a2a3,>a2~,>.2.3,>.\1.\1,BACKOFF,[STEM-CV],<i2~,lex:>a2~,lex:>a\1~,<i2~,<i\1~,<i2~/CV,<i\1~/CV,na,pos:verb asp:c vox:a gen:_ num:_,v-suff,,gem,^A([^wy])$,6,
12,1a2a3,>a2~,>.2.3,>.\1.\1,BACKOFF,[STEM-CV],{i>o2i3,lex:>a2~,lex:>a\1~,{i>o2i3,{i>o\1i\2,{i>o2i3/CV,{i>o\1i\2/CV,na,pos:verb asp:c vox:a gen:_ num:_,c-suff,,gem,^AA([^wy])([^wy])$,6,
13,>a1o2a3,>a1A',1.w.>,\1.w.>,BACKOFF,[STEM-CV],>a1,lex:>a1A',lex:>a\1A',>a1,>a\1,>a1/CV,>a\1/CV,na,pos:verb asp:c vox:a gen:_ num:_,,,#-iy',^A([^wy])$,4,
14,>a1o2a3,>a1A3,1.y.t,\1.y.t,BACKOFF,[STEM-CV],1iy3,lex:>a1At,lex:>a\1At,1iyt,\1iyt,1iyt/CV,\1iyt/CV,na,pos:verb asp:c vox:a gen:_ num:_,v-suff,,,^([^wy])yt$,1,
